title,company,location
"                    data scientist, Supply Chain - Remote                ",            Starbucks          ,"            Seattle, WA          "
                    data scientist (multiple openings) - Remote                ,            Starbucks          ,"            Seattle, WA          "
                    Fintech Data Scientist                ,            Vanguard          ,"            Malvern, PA          "
                    Data Scientist Coop                ,            Comcast          ,"            Philadelphia, PA          "
                    Applied Data Scientist                ,            Engage3          ,"            Sacramento, CA          "
                    Data Scientist                ,            Walgreens          ,"            Chicago, IL          "
                    Data Scientist                ,            SOLUTE          ,"            Aiea, HI          "
                    Data Scientist - Entry-level                ,            Liminal Insights Inc.          ,"            Oakland, CA          "
                    Data Scientist                ,            SOLUTE          ,"            Coronado, CA          "
                    Data Scientist - New York or North Carolina                ,            IBM          ,"            New York, NY          "
                    Data Scientist                ,            Adobe          ,"            San Jose, CA          "
                    Data Scientist                ,            GoDaddy          ,"            California, United States          "
                    Data Scientist                ,            SOLUTE          ,"            Homestead, FL          "
                    Data Scientist - Growth                ,            Spotify          ,"            Boston, MA          "
                    Data Scientist - Central Product Platform                ,            TikTok          ,"            Mountain View, CA          "
                    Data Scientist                ,            Morgan Stanley          ,"            New York, NY          "
"                    Data Scientist- Growth, Talk                ",            Spotify          ,"            New York, NY          "
                    Data Scientist I                ,            Truist          ,"            Atlanta, GA          "
                    Data Scientist                ,            Amdocs          ,"            Plano, TX          "
                    Data Scientist                ,            SOLUTE          ,"            Colorado Springs, CO          "
                    Data Scientist                ,            Liminal Insights Inc.          ,"            Oakland, CA          "
                    Data Scientist                ,            S&P Global Market Intelligence          ,"            Boston, MA          "
                    Data Scientist                ,            Homesite Insurance          ,"            Phoenix, AZ          "
"                    Data Scientist, Strategic Finance                ",            Figma          ,            United States          
                    Data Scientist - Strategic Finance                ,            Figma          ,            San Francisco Bay Area          
